X(E/m),Y(N/m)
330342.377045985369477,4156712.499892940744758
330342.234773310483433,4156712.458397355861962
330342.172472337610088,4156712.437469046562910
330342.048323799972422,4156712.417804356664419
330341.915113191644195,4156712.387224222999066
330341.781902580056340,4156712.356644090730697
330341.675198069016915,4156712.325522408820689
330341.541987457545474,4156712.294942280743271
330341.479913185641635,4156712.285109940450639
330341.417612211545929,4156712.264181637670845
330341.346249164023902,4156712.232337890192866
330341.283948189113289,4156712.211409588344395
330341.159572938515339,4156712.180648948997259
330341.044033057987690,4156712.149707792326808
330340.919204395671841,4156712.096755231730640
330340.803664510720409,4156712.065814077854156
330340.696733286487870,4156712.023596446961164
330340.634659011207987,4156712.013764112256467
330340.572358032688498,4156711.992835815995932
330340.518892418476753,4156711.971727000549436
330340.465426806185860,4156711.950618186499923
330340.402899121108931,4156711.918593929149210
330340.305029963143170,4156711.887291746214032
330340.242955688503571,4156711.877459412906319
330340.135797752765939,4156711.824145827908069
330340.020031154563185,4156711.782108723185956
330339.957956876431126,4156711.772276393137872
330339.904491259017959,4156711.751167582347989
330339.797106612939388,4156711.686758036259562
330339.734805629588664,4156711.665829747449607
330339.681566719664261,4156711.655816901009530
330339.619265733519569,4156711.634888610336930
330339.556738040293567,4156711.602864359039813
330339.503272422938608,4156711.581755550578237
330339.396114478295203,4156711.528441973496228
330339.280347871710546,4156711.486404877621680
330339.217820176039822,4156711.454380629584193
330339.164354556705803,4156711.433271822519600
330339.110662227787543,4156711.401067055296153
330339.057196607813239,4156711.379958250559866
330338.949811950034928,4156711.315548715181649
330338.904954986996017,4156711.283163427840918
330338.842200580693316,4156711.240043218713254
330338.797343619167805,4156711.207657933700830
330338.743877997039817,4156711.186549128964543
330338.627204548334703,4156711.100128193851560
330338.528655253699981,4156711.035538143478334
330338.474736211472191,4156710.992237417493016
330338.429652536753565,4156710.948756169993430
330338.384795571968425,4156710.916370886843652
330338.321814451715909,4156710.862154718954116
330338.223265151842497,4156710.797564672306180
330338.133097799378447,4156710.710602181032300
330338.079178752959706,4156710.667301457375288
330337.980176029144786,4156710.580519488081336
330337.935092351865023,4156710.537038244307041
330337.853533653309569,4156710.438799272757024
330337.754757633432746,4156710.363113270141184
330337.709673953766469,4156710.319632024504244
330337.664590273750946,4156710.276150783058256
330337.619279881764669,4156710.221573578193784
330337.528885807550978,4156710.123515130486339
330337.501472863426898,4156710.079672845546156
330337.465224550105631,4156710.036011081654578
330337.428749524638988,4156709.981253357138485
330337.392501210502815,4156709.937591593246907
330337.356026186374947,4156709.882833867799491
330337.328386528999545,4156709.827895621769130
330337.264271848078351,4156709.718199648894370
330337.236858899123035,4156709.674357364419848
330337.208992532861885,4156709.608323155902326
330337.181352875893936,4156709.553384907543659
330337.107495980104432,4156709.399485609959811
330337.088464981876314,4156709.333270878531039
330337.042247744160704,4156709.234309826046228
330337.004639165592380,4156709.124072290025651
330336.985834873630665,4156709.068953522481024
330336.966803873889148,4156709.002738791517913
330336.956608244043309,4156708.936343539040536
330336.937803953769617,4156708.881224771030247
330336.918772953213193,4156708.815010040998459
330336.908804032951593,4156708.759710751008242
330336.889999741979409,4156708.704591981600970
330336.888639481971040,4156708.638016207143664
330336.878670559031889,4156708.582716918550432
330336.868701638188213,4156708.527417628560215
330336.867341378121637,4156708.460841854102910
330336.856238907086663,4156708.350062751211226
330336.854878646903671,4156708.283486976753920
330336.844909725768957,4156708.228187685832381
330336.834940804576036,4156708.172888395842165
330336.833580544334836,4156708.106312621384859
330336.803447067504749,4156707.929318790324032
330336.792117887642235,4156707.807443726342171
330336.782148963422514,4156707.752144436351955
330336.781015413114801,4156707.696664623450488
330336.769232810300309,4156707.552597634028643
330336.759263890387956,4156707.497298344969749
