X(E/m),Y(N/m)
330234.926816864754073,4156649.246770840603858
330234.930673175898846,4156649.435402219183743
330234.960582115105353,4156649.601299786474556
330234.973273862851784,4156649.789750534575433
330234.994120521703735,4156649.944732766132802
330235.032411211635917,4156650.088257777504623
330235.053484713076614,4156650.254335971083492
330235.074331370065920,4156650.409318202640861
330235.113302582059987,4156650.586131104268134
330235.126221168204211,4156650.785677818581462
330235.147748350398615,4156650.973947940859944
330235.177884123637341,4156651.150941471569240
330235.199411302106455,4156651.339211594779044
330235.238155666971579,4156651.504928532056510
330235.259909685293678,4156651.704294618219137
330235.281210019835271,4156651.881468776613474
330235.320181225135457,4156652.058281679637730
330235.341935241071042,4156652.257647765800357
330235.372071007499471,4156652.434641296509653
330235.394051865558140,4156652.645103346556425
330235.424187630065717,4156652.822096877265722
330235.445941642858088,4156653.021462964825332
330235.467241972219199,4156653.198637124150991
330235.497377734049223,4156653.375630655791610
330235.510296311695129,4156653.575177371036261
330235.549721189541742,4156653.774182201363146
330235.563320290064439,4156654.007016805466264
330235.585981663898565,4156654.250766747631133
330235.599353922298178,4156654.472505389712751
330235.630170202581212,4156654.682786811608821
330235.642861936183181,4156654.871237564366311
330235.655553671706002,4156655.059688315261155
330235.677534518472385,4156655.270150366239250
330235.699288523173891,4156655.469516453798860
330235.721042527351528,4156655.668882541824132
330235.733961100224406,4156655.868429256137460
330235.764323692186736,4156656.056518753990531
330235.794913124293089,4156656.255704212933779
330235.816440286464058,4156656.443974336609244
330235.855411463882774,4156656.620787242427468
330235.885774051712360,4156656.808876739814878
330235.907528052455746,4156657.008242828305811
330235.937663797114510,4156657.185236360412091
330235.968026381917298,4156657.373325857333839
330235.989553536986932,4156657.561595982406288
330236.011080691358075,4156657.749866107013077
330236.041443273366895,4156657.937955604866147
330236.062970428494737,4156658.126225729007274
330236.084497580653988,4156658.314495854079723
330236.115087000885978,4156658.513681317213923
330236.128005567356013,4156658.713228031992912
330236.167430410685483,4156658.912232866510749
330236.180348975991365,4156659.111779582686722
330236.202102965558879,4156659.311145672108978
330236.232692381017841,4156659.510331133380532
330236.254446371225640,4156659.709697223734111
330236.276427197037265,4156659.920159276109189
330236.307016611914150,4156660.119344738312066
330236.338059704867192,4156660.340722126420587
330236.368875955813564,4156660.551003552507609
330236.408527633175254,4156660.761104352306575
330236.421446190914139,4156660.960651068948209
330236.461097863502800,4156661.170751868281513
330236.483078685239889,4156661.381213921587914
330236.513894930714741,4156661.591495348140597
